person_age_group,new_confirm,new_death,new_recover,total,p_infected,p_death_if_infected
0-9,7868,1,4977,2015536,0.003903676242944805,0.00012709710218607016
10-19,19446,9,11369,1987939,0.009781990292458673,0.00046282011724776306
20-29,51798,33,29839,2346114,0.02207821103322345,0.0006370902351442141
30-39,96408,118,55599,3424411,0.028153162689875718,0.0012239648161978258
40-49,106294,309,63377,3107061,0.03421046448717936,0.0029070314410973336
50-59,125715,1055,76028,3124434,0.0402360875601789,0.008391997772739928
60-69,96234,2198,56973,3103771,0.03100550910489208,0.022840160442255335
70-79,35778,2126,19983,1921809,0.018616834451290424,0.05942199116775672
80-89,11025,1395,5625,1164709,0.009465883752937429,0.12653061224489795
90+,899,136,459,193555,0.004644674640283124,0.15127919911012236
